17784930076N iot/window {"phase":"BENCHMARK","idx":0,"average":0.000000,"adaptive_rate":105979.36,"sample_count":0,"compute_ms":94.3580,"timestamp_us":1778493007626926,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":0,"current_ma":88.70,"voltage_v":5.112,"power_mw":453.43,"energy_mj":30.1053}
17784930186N iot/window {"phase":"SIG0_WINDOW","idx":0,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2040,"timestamp_us":1778493017819363,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":60.10,"voltage_v":5.128,"power_mw":308.19,"energy_mj":2524.1350}
17784930226N iot/window {"phase":"SIG0_WINDOW","idx":1,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.1980,"timestamp_us":1778493022715358,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":65.30,"voltage_v":5.120,"power_mw":334.34,"energy_mj":4108.0210}
17784930276N iot/window {"phase":"SIG0_WINDOW","idx":2,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.1990,"timestamp_us":1778493027611357,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":58.50,"voltage_v":5.128,"power_mw":299.99,"energy_mj":5683.7808}
17784930326N iot/window {"phase":"SIG0_WINDOW","idx":3,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2020,"timestamp_us":1778493032507360,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":63.40,"voltage_v":5.120,"power_mw":324.61,"energy_mj":7312.5444}
17784930376N iot/window {"phase":"SIG0_WINDOW","idx":4,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.1960,"timestamp_us":1778493037403355,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":67.00,"voltage_v":5.124,"power_mw":343.31,"energy_mj":9056.2510}
17784930456N iot/window {"phase":"SIG1_WINDOW","idx":0,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778493045067182,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":58.80,"voltage_v":5.120,"power_mw":301.06,"energy_mj":2496.2822}
17784930506N iot/window {"phase":"SIG1_WINDOW","idx":1,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778493049931185,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":63.10,"voltage_v":5.124,"power_mw":323.32,"energy_mj":4098.6777}
17784930556N iot/window {"phase":"SIG1_WINDOW","idx":2,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778493054795186,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":60.50,"voltage_v":5.128,"power_mw":310.24,"energy_mj":6052.2388}
17784930606N iot/window {"phase":"SIG1_WINDOW","idx":3,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778493059659185,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":64.10,"voltage_v":5.124,"power_mw":328.45,"energy_mj":7698.8320}
17784930646N iot/window {"phase":"SIG1_WINDOW","idx":4,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0090,"timestamp_us":1778493064523169,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":58.50,"voltage_v":5.124,"power_mw":299.75,"energy_mj":9284.4131}
