17784904546N iot/window {"phase":"BENCHMARK","idx":0,"average":0.000000,"adaptive_rate":106014.18,"sample_count":0,"compute_ms":94.3270,"timestamp_us":1778490454566114,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":0,"current_ma":145.60,"voltage_v":5.084,"power_mw":740.23,"energy_mj":52.8191}
17784904646N iot/window {"phase":"SIG0_WINDOW","idx":0,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2040,"timestamp_us":1778490464760514,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":63.70,"voltage_v":5.116,"power_mw":325.89,"energy_mj":2978.1895}
17784904696N iot/window {"phase":"SIG0_WINDOW","idx":1,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2070,"timestamp_us":1778490469656515,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":75.20,"voltage_v":5.120,"power_mw":385.02,"energy_mj":4753.5459}
17784904746N iot/window {"phase":"SIG0_WINDOW","idx":2,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2030,"timestamp_us":1778490474552515,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":67.90,"voltage_v":5.116,"power_mw":347.38,"energy_mj":6986.7793}
17784904796N iot/window {"phase":"SIG0_WINDOW","idx":3,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2050,"timestamp_us":1778490479448517,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":60.40,"voltage_v":5.120,"power_mw":309.25,"energy_mj":8553.5430}
17784904846N iot/window {"phase":"SIG0_WINDOW","idx":4,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2000,"timestamp_us":1778490484344510,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":63.50,"voltage_v":5.120,"power_mw":325.12,"energy_mj":10235.5381}
17784904916N iot/window {"phase":"SIG1_WINDOW","idx":0,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778490492008332,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":63.30,"voltage_v":5.120,"power_mw":324.10,"energy_mj":2509.7454}
17784904966N iot/window {"phase":"SIG1_WINDOW","idx":1,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778490496872338,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":74.40,"voltage_v":5.112,"power_mw":380.33,"energy_mj":4146.1753}
17784905016N iot/window {"phase":"SIG1_WINDOW","idx":2,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778490501736337,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":62.80,"voltage_v":5.120,"power_mw":321.54,"energy_mj":5828.6934}
17784905066N iot/window {"phase":"SIG1_WINDOW","idx":3,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778490506600336,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":58.20,"voltage_v":5.120,"power_mw":297.98,"energy_mj":7609.9844}
17784905116N iot/window {"phase":"SIG1_WINDOW","idx":4,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0090,"timestamp_us":1778490511464319,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":59.50,"voltage_v":5.116,"power_mw":304.40,"energy_mj":9934.1416}
