17784895296N iot/window {"phase":"BENCHMARK","idx":0,"average":0.000000,"adaptive_rate":105857.07,"sample_count":0,"compute_ms":94.4670,"timestamp_us":1778489529109586,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":0,"current_ma":92.20,"voltage_v":5.112,"power_mw":471.33,"energy_mj":33.1800}
17784895396N iot/window {"phase":"SIG0_WINDOW","idx":0,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2090,"timestamp_us":1778489539302921,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":126.60,"voltage_v":5.092,"power_mw":644.65,"energy_mj":2732.2214}
17784895446N iot/window {"phase":"SIG0_WINDOW","idx":1,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2070,"timestamp_us":1778489544198916,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":56.70,"voltage_v":5.120,"power_mw":290.30,"energy_mj":4902.1182}
17784895496N iot/window {"phase":"SIG0_WINDOW","idx":2,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2050,"timestamp_us":1778489549094914,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":86.90,"voltage_v":5.120,"power_mw":444.93,"energy_mj":7115.0762}
17784895546N iot/window {"phase":"SIG0_WINDOW","idx":3,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2010,"timestamp_us":1778489553990911,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":57.60,"voltage_v":5.120,"power_mw":294.91,"energy_mj":9554.0215}
17784895586N iot/window {"phase":"SIG0_WINDOW","idx":4,"average":0.051832,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2040,"timestamp_us":1778489558886914,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":192,"current_ma":71.90,"voltage_v":5.116,"power_mw":367.84,"energy_mj":11399.3496}
17784895666N iot/window {"phase":"SIG1_WINDOW","idx":0,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778489566551731,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":64.90,"voltage_v":5.120,"power_mw":332.29,"energy_mj":2738.2903}
17784895716N iot/window {"phase":"SIG1_WINDOW","idx":1,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778489571415734,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":61.90,"voltage_v":5.120,"power_mw":316.93,"energy_mj":4596.1294}
17784895766N iot/window {"phase":"SIG1_WINDOW","idx":2,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778489576279733,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":65.70,"voltage_v":5.120,"power_mw":336.38,"energy_mj":6567.1362}
17784895816N iot/window {"phase":"SIG1_WINDOW","idx":3,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0120,"timestamp_us":1778489581143733,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":56.60,"voltage_v":5.120,"power_mw":289.79,"energy_mj":8541.4863}
17784895856N iot/window {"phase":"SIG1_WINDOW","idx":4,"average":0.099742,"adaptive_rate":3.91,"sample_count":19,"compute_ms":0.0100,"timestamp_us":1778489586007720,"signal":1,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":76,"current_ma":63.70,"voltage_v":5.120,"power_mw":326.14,"energy_mj":10286.9883}
